Burmese,English
ဧရာ,Ayar
အေ,A
ဧ,A
အဲ,Ae
အဲ့,Aet
ဧကရီ,Akari
အယ်,Al
အေမီ,Ami
အာ,Ar
အာကာ,Arkar
အား,Arr
အောင်,Aung
အောင်း,Aung
အံ့,Aunt
ဧပရယ်,April
အေး,Aye
ဘ,Ba
ဗ,Ba
ဗညား,Banyar
ဘုန်း,Bhone
ဘို,Bo
ဗိုလ်,Bo
ဗို,Bo
ချိန်း,Chein
ချိန်,Chain
ချမ်း,Chan
ချော,Chaw
ချိမ့်,Cheint
ချယ်,Chel
ခြယ်,Chel
ချယ်ရီ,Cherry
ခြည်,Chi
ချင်း,Chin
ချစ်,Chit
ချို,Cho
ခြူး,Chuu
ဒ,Da
ဒန်,Dan
ဒါ,Dar
ဒါလီ,Darli
ဒေ,Day
ဒီ,Di
ဒီပါ,Diper
ဒွေး,Dway
အိမ်,Eain
အိန္ဒြာ,Eaindra
ဣန္ဒြေ,Eaindray
အိန္ဒြေ,Eaindray
အိမ့်,Eaint
အိမ့်,Eaint
အိ,Ei
ဂေး,Gay
ကြင်း,Gyinn
ဟ,Ha
ဟယ်,Hal
ဟန်,Han
ဟံ,Han
ဟန်နီ,Hanni
ဟေ,Hay
ဟိန်း,Hein
ဟိဏ်း,Hain
လှ,Hla
လှိုင်း,Hlaine
လှိုင်,Hlaing
လိုင်,Laing
သျှင်,Hlin
လွှမ်း,Hlwan
လွှာ,Hlwar
လျှံ,Hlyan
သျှံ,Hlyan
သျှန်,Hlyan
လျှမ်း,Hlyann
မှုံ,Hmone
မှုန်,Hmone
မှုး,Hmu
မှူး,Hmue
မွှေး,Hmwe
နှင်း,Hnin
နှင်,Hnin
နှိုင်း,Hnine
နှစ်,Hnint
နှင့်,Hnint
ဆင့်,Hsint
ဆင့်,Hsint
ဆုန်,Hsone
ဆု,Hsu
ထိန်,Htain
ထယ်,Htal
ထည်,Htal
ထား,Htar
ထော,Htaw
ဌေး,Htay
ထိပ်,Hteik
ထက်,Htet
ထိုက်,Htike
ထင်,Htin
ထူး,Htoo
ထွန်း,Htun
ထွဏ်း,Htunn
ထွတ်,Htut
ထွဋ်,Htut
ထွာ,Htwar
ထွေး,Htwe
အင်,In
အင်း,Inn
အင်ကြင်း,Inngyin
အဥ္ဇလီ,Inzali
ဂျွန်,John
ဂျူ,Ju
ဂျူး,Jue
ဇူလိုင်,July
ဂျူလိုင်,July
က,Ka
ကဗျာ,Kabyar
ကုဋေ,Kahtay
ကလျာ,Kalayar
ကံ,Kan
ကံ့,Kant
ကာယံ,Kar Yan
ကာ,Kar
ကောင်း,Kaung
ကော်,Kaw
ကေ,Kay
ခ,Kha
ခမ်း,Khan
ခန့်,Khant
ခတ္တာ,Khattar
ခေါင်,Khaung
ခက်,Khet
ခင်,Khin
ခိုင်,Khine
ခင့်,Khint
ခေတ်,Khit
ခွန်း,Khoon
ခု,Khu
ခွန်,Khun
ခွါ,Khwar
ကို,Ko
ကွန်း,Kon
ကု,Ku
ကူး,Kuu
ကြယ်,Kyal
ကြာ,Kyar
ကျောက်,Kyauk
ကျော်,Kyaw
ကျော,Kyaw
ကြော့,Kyawt
ကျော့,Kyawt
ကျေး,Kyay
ကြည်,Kyi
ကျင်,Kyin
ကြိုင်,Kyine
ကြည့်,Kyit
ကြို,Kyo
ကြူ,Kyu
ကြွယ်,Kywel
လ,La
လာဘ်,Lab
လဲ့,Lae
လဲ,Le
လမင်း,Lamin
လာ,Lar
လတ်,Lat
လက်,Lat
လပ်,Lap
လေး,Lay
လျာ,Layar
လီ,Li
လင်း,Lin
လွန်း,Lonn
လွန်,Lon
လု,Lu
လူ,Lu
ဠု,Lu
လွင်,Lwin
မ,Ma
မာလာ,Malar
မာ,Mar
မော်,Maw
မေ,May
မောင်,Mg
မာန်,Mhan
မန်,Mhan
မန်း,Mhann
မီ,Me
မိ,Mi
မီး,Mie
မင်း,Min
မိုရ်,Mho
မို,Mo
မိုး,Moe
မို့,Moh
မွန်,Mon
မုန်,Mone
မုံ,Mone
မူ,Mu
မု,Mue
မူး,Muu
မိုင်,My
မြ,Mya
မြေ့,Myae
မြဲ,Myal
မြာ,Myar
မြတ်,Myat
မျက်,Myet
မြင်,Myin
မြိုင်,Myine
မြင့်,Myint
မဥ္ဇူ,Myint Zu
မျိုး,Myo
မြို့,Myoe
န,Na
နဒီ,Nadi
နိုင်,Naing
နယ်,Nal
နမ့်,Nant
နန်း,Nan
နန္ဒ,Nanda
နန္ဒာ,Nandar
နံ့,Nant
နန့်,Nant
